WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor_ID,BOQ_Code,Crew_ID
3.2 Right of Way (ROW) Support & Site Clearance,A3210,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
3.2 Right of Way (ROW) Support & Site Clearance,A3220,Conduct Topographical and Cadastral Surveys to Define ROW Limits**,13,START,2.1.1,CR-SURVEY-01
3.2 Right of Way (ROW) Support & Site Clearance,A3230,Prepare and Submit ROW Acquisition Plans and Legal Documents**,30,START,N/A,N/A
3.2 Right of Way (ROW) Support & Site Clearance,A3240,Obtain Environmental Clearance and Permits for Site Activities**,120,START,N/A,N/A
3.3 Utility Diversion & Shifting,A3250,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
3.3 Utility Diversion & Shifting,A3260,WBS: 3.3 Utility Diversion & Shifting**,150,START,3.3.2,CR-UTIL-01
3.3 Utility Diversion & Shifting,A3270,Phase 1: Pre-Construction & Enabling Works**,-1,START,N/A,N/A
3.3 Utility Diversion & Shifting,A3280,Obtain and Review Existing Utility Record Drawings (As-Builts),10,START,N/A,N/A
3.3 Utility Diversion & Shifting,A3290,Perform GPR (Ground Penetrating Radar) & CAT Scans to Survey for Unknown Utilities,30,A3280,3.2.1,CR-SURVEY-02
3.3 Utility Diversion & Shifting,A3300,"Engage and Coordinate with all Relevant Utility Authorities (Power, Water, Telecom, Gas, etc.)",-1,START,N/A,N/A
3.3 Utility Diversion & Shifting,A3310,Phase 2: Installation of New Utility Corridors**,200,START,3.3.1,CR-EARTH-02
3.3 Utility Diversion & Shifting,A3320,"Phase 3: Live Diversion, Connection & Commissioning**",150,START,3.3.2,CR-UTIL-01
3.3 Utility Diversion & Shifting,A3330,Phase 4: Decommissioning & Reinstatement**,34,START,3.2.2,CR-DEMO-01
3.3 Utility Diversion & Shifting,A3340,Phase 5: Handover**,0,START,N/A,N/A
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3350,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3360,Mobilization & Site Preparation**,25,START,1.1.4,CR-ROAD-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3370,"Mobilize Piling Rig, Equipment, and Personnel to Work Area",100,START,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3380,Survey and Set Out for Pile Locations,100,START,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3390,Construct Piling Platform and Access Routes,100,A3380,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3400,Piling Works**,1,START,5.1.2,CR-PILE-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3410,Bore/Drive Piles to Designed Depth,900,A3390,4.1.1,CR-PILE-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3420,Fabricate and Install Pile Reinforcement Cages,2334,A3410,4.1.2,CR-REBAR-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3430,Pour Concrete for Piles,278,A3420,4.1.3,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3440,Allow for Concrete Curing Time for Piles,278,A3430,4.1.3,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3450,Conduct Pile Integrity Testing (PIT) and/or Static Load Tests,2334,A3440,4.1.2,CR-REBAR-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3460,Trim/Break Pile Heads to Final Cut-off Level,100,A3450,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3470,Pile Cap Construction**,100,START,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3480,Excavate for Pile Caps,100,A3460,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3490,Lay Blinding Concrete Layer,120,A3480,5.1.5,CR-CONC-S1
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3500,Erect Formwork for Pile Caps,200,A3490,4.1.5,CR-CARP-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3510,Fix Reinforcement Steel for Pile Caps,1400,A3500,4.1.6,CR-REBAR-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3520,Pour Concrete for Pile Caps,150,A3510,4.1.7,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3530,Allow for Concrete Curing Time for Pile Caps,7,A3520,N/A,N/A
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3540,Strip Formwork from Pile Caps,200,A3530,4.1.5,CR-CARP-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3550,Apply Waterproofing/Protective Coating to Pile Caps,150,A3540,4.1.7,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3560,Backfill and Compact around Completed Pile Caps,100,A3550,4.1.4,CR-EARTH-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3570,Fix Pier Starter Bars into Pile Cap,150,A3560,4.1.7,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3580,Erect Formwork and Falsework for Piers (Lift 1),450,A3570,4.1.8,CR-CARP-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3590,Fix Reinforcement Steel for Piers (Lift 1),1800,A3580,4.1.9,CR-REBAR-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3600,Pour Concrete for Piers (Lift 1),267,A3590,4.1.10,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3610,Cure and Strip Formwork for Pier (Lift 1),267,A3600,4.1.10,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3620,"Repeat Formwork, Rebar, and Concrete Cycle for Subsequent Pier Lifts",267,START,4.1.10,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3630,"Construct Pier Head/Crosshead (Formwork, Rebar, Concrete)",267,START,4.1.10,CR-CONC-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3640,Cure and Strip Pier Head Formwork,450,START,4.1.8,CR-CARP-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3650,Grouting and Surface Preparation of Pier Head,450,A3640,4.1.8,CR-CARP-02
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3660,"Install Bearings, Pedestals & Seismic Arrestors",90,START,4.1.11,CR-MECH-01
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3670,"Final Survey, Inspection, and Handover of Substructure",225,START,6.2.1,CR-STEEL-01
4.2 Superstructure Works (Segment Casting & Erection),A3680,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
4.2 Superstructure Works (Segment Casting & Erection),A3690,WBS: 4.2 Superstructure Works (Segment Casting & Erection)**,50,START,4.3.1,CR-EREC-02
4.2 Superstructure Works (Segment Casting & Erection),A3700,A. PREPARATION & MOBILIZATION**,30,START,N/A,N/A
4.2 Superstructure Works (Segment Casting & Erection),A3710,Submit & Approve Method Statements and Shop Drawings for Superstructure Works,10,START,N/A,N/A
4.2 Superstructure Works (Segment Casting & Erection),A3720,Establish & Commission Precast Segment Casting Yard,3200,A3710,4.2.1,CR-PRECAST-01
4.2 Superstructure Works (Segment Casting & Erection),A3730,"Procure & Deliver Raw Materials for Segment Casting (Reinforcement, Cement, PT etc.)",90,START,N/A,N/A
4.2 Superstructure Works (Segment Casting & Erection),A3740,B. PRECAST SEGMENT CASTING (CYCLICAL PROCESS)**,1,START,4.2.2,CR-LOGIS-01
4.2 Superstructure Works (Segment Casting & Erection),A3750,C. ON-SITE ERECTION PREPARATION**,300,START,5.1.4,CR-STEEL-01
4.2 Superstructure Works (Segment Casting & Erection),A3760,"D. SEGMENT ERECTION & INSTALLATION (CYCLICAL, PER SPAN)**",300,START,5.1.4,CR-STEEL-01
4.2 Superstructure Works (Segment Casting & Erection),A3770,E. FINISHING & COMPLETION WORKS**,225,START,5.1.7,CR-FACADE-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3780,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3790,"WBS: 4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)**",-1,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3800,"Engineering, Procurement & Fabrication**",-1,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3810,Finalize & Approve Detailed Structural Designs & Shop Drawings,20,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3820,"Procure & Deliver Foundation Materials (Rebar, Piling Casings, Concrete)",267,START,4.1.10,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3830,Fabricate Structural Steel Girders (Off-site),50,START,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3840,Apply Protective Coatings / Paint System to Girders at Fabrication Yard,50,A3830,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3850,Factory Acceptance Testing (FAT) & Quality Inspection of Steel Girders,50,A3840,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3860,"Procure & Deliver Bearings, Pedestals, and Seismic Arrestors",150,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3870,"Procure & Deliver Decking Materials, Expansion Joints, and Parapets",225,START,5.1.7,CR-FACADE-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3880,Arrange Logistics & Transportation for Oversized Girder Delivery to Site,10,START,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3890,Enabling & Substructure Works**,63,START,6.3.1,CR-ROAD-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3900,"Site Survey, Setting Out, and Geotechnical Verification",13,START,2.1.1,CR-SURVEY-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3910,Implement Traffic Management Plan & Obtain Road/Rail Block Permissions,25,START,1.1.4,CR-ROAD-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3920,"Site Clearance, Grubbing, and Earthworks for Abutments & Piers",267,START,4.1.10,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3930,Construct Piled Foundations for Abutments & Piers,150,START,4.1.7,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3940,Construct Pile Caps for Abutments & Piers,150,A3930,4.1.7,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3950,"Construct Abutment Walls (Formwork, Rebar, Concrete Pour)",125,START,4.4.1,CR-CONC-03
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3960,"Construct Pier Shafts (Formwork, Rebar, Concrete Pour)",267,START,4.1.10,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3970,"Construct Pier Caps / Abutment Seats (Formwork, Rebar, Concrete Pour)",267,START,4.1.10,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3980,Cure Concrete Substructure & Strip Formwork,120,START,5.1.5,CR-CONC-S1
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3990,Superstructure Erection**,50,START,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4000,Prepare Girder Staging & Assembly Area,50,A3980,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4010,Receive & Unload Steel Girders at Site,50,A4000,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4020,Assemble Girder Segments on Ground (if required),50,A4010,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4030,"Install Bearings, Pedestals & Seismic Arrestors on Pier Caps & Abutments",90,START,4.1.11,CR-MECH-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4040,Mobilize Heavy Lift Cranes / Launching Gantry,400,START,4.2.3,CR-EREC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4050,Erect/Launch Main Steel Girders onto Bearings,50,A4040,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4060,Install Diaphragms & Cross-Bracing between Girders,50,A4050,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4070,Complete Bolting / Welding of All Steel Connections,0,A4060,N/A,N/A
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4080,Conduct Survey & Alignment Checks of Erected Steel Superstructure,50,A4070,4.3.1,CR-EREC-02
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4090,"Deck, Ramps & Finishes**",267,START,4.1.10,CR-CONC-01
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4100,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
4.4 Viaduct Finishing Works,A4110,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
4.4 Viaduct Finishing Works,A4120,Mobilization & Preparatory Works**,25,START,1.1.4,CR-ROAD-01
4.4 Viaduct Finishing Works,A4130,"Mobilize personnel, plant, and materials to the viaduct deck.",50,START,4.3.1,CR-EREC-02
4.4 Viaduct Finishing Works,A4140,Conduct as-built survey of the viaduct deck for level and alignment control.,50,START,4.3.1,CR-EREC-02
4.4 Viaduct Finishing Works,A4150,"Prepare deck surface (high-pressure water jetting, grinding, and minor concrete repairs).",267,START,4.1.10,CR-CONC-01
4.4 Viaduct Finishing Works,A4160,Permanent Bearings & Restraints**,90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4170,Install Permanent Bearings on pier heads.,90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4180,Install Pedestals and Seismic Arrestors.,90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4190,"Grout pedestals, bearings, and arrestor base plates.",90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4200,Conduct post-grouting inspection and testing.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4210,Parapet Wall Construction**,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4220,Survey and set out for parapet wall alignment.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4230,Install starter bars and fix reinforcement for parapet walls.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4240,Erect formwork for parapet walls (inner and outer).,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4250,Pour concrete for parapet walls in sequential bays.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4260,Strip formwork and apply curing compound.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4270,Apply waterproofing membrane system to the entire deck surface.,40,START,4.4.2,CR-WATER-01
4.4 Viaduct Finishing Works,A4280,Conduct flood testing or integrity testing of the waterproofing membrane.,40,START,4.4.2,CR-WATER-01
4.4 Viaduct Finishing Works,A4290,Lay protective screed or asphaltic layer over the membrane.,40,START,4.4.2,CR-WATER-01
4.4 Viaduct Finishing Works,A4300,Survey and set out for track plinth/baseplate locations.,1,START,5.1.2,CR-PILE-01
4.4 Viaduct Finishing Works,A4310,Construct concrete track plinths.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4320,"Install rails, fastenings, and sleepers/baseplates.",90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4330,Perform initial rail alignment and thermic welding.,50,START,4.3.1,CR-EREC-02
4.4 Viaduct Finishing Works,A4340,"Final tamping, stressing, and alignment of track.",20,START,6.3.3,CR-PAVE-01
4.4 Viaduct Finishing Works,A4350,"Install deck drainage system (scuppers, downpipes).",1,START,6.1.2,CR-UTIL-02
4.4 Viaduct Finishing Works,A4360,"Install cable containment systems (ducts, troughs, and cable trays).",300,START,4.4.3,CR-ELEC-02
4.4 Viaduct Finishing Works,A4370,Install walkway and maintenance handrailing.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4380,"Pull and install power, signaling, and communication cables.",1,START,3.3.3,CR-ELEC-01
4.4 Viaduct Finishing Works,A4390,Install viaduct lighting poles and fixtures.,50,START,4.3.1,CR-EREC-02
4.4 Viaduct Finishing Works,A4400,Install noise barriers and associated steelwork.,225,START,5.1.7,CR-FACADE-01
4.4 Viaduct Finishing Works,A4410,Install expansion joints at abutments and designated piers.,90,START,4.1.11,CR-MECH-01
4.4 Viaduct Finishing Works,A4420,Apply final protective/aesthetic coating to parapet walls.,125,START,4.4.1,CR-CONC-03
4.4 Viaduct Finishing Works,A4430,Install all required signage and line marking.,34,START,3.2.2,CR-DEMO-01
4.4 Viaduct Finishing Works,A4440,Conduct final cleaning and removal of all temporary works from the deck.,34,START,3.2.2,CR-DEMO-01
4.4 Viaduct Finishing Works,A4450,Perform joint quality inspection with the client/engineer (Punch Listing).,5,START,N/A,N/A
4.4 Viaduct Finishing Works,A4460,Rectify all identified defects/snags.,34,START,3.2.2,CR-DEMO-01
4.4 Viaduct Finishing Works,A4470,Final Handover Inspection and Demobilization.,50,START,4.3.1,CR-EREC-02
5.1 Whitefield Station Construction,A4480,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
5.1 Whitefield Station Construction,A4490,Site Establishment & Enabling Works**,30,START,1.1.2,CR-BLDG-01
5.1 Whitefield Station Construction,A4500,Obtain All Necessary Permits to Work,0,START,N/A,N/A
5.1 Whitefield Station Construction,A4510,"Site Mobilization, Setup Site Offices, Welfare Facilities & Laydown Areas",30,START,1.1.2,CR-BLDG-01
5.1 Whitefield Station Construction,A4520,Perform Initial Site Survey and Setting Out,1,START,6.1.2,CR-UTIL-02
5.1 Whitefield Station Construction,A4530,"Install Temporary Fencing, Hoarding, and Access Gates",54,START,1.1.1,CR-FENCE-01
5.1 Whitefield Station Construction,A4540,"Utility Location, Diversion, and Protection Works",150,START,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4550,"Site Clearance, Grubbing, and Removal of Obstructions",34,START,3.2.2,CR-DEMO-01
5.1 Whitefield Station Construction,A4560,Substructure & Foundation Works**,267,START,4.1.10,CR-CONC-01
5.1 Whitefield Station Construction,A4570,Bulk Excavation to Formation Level,200,START,5.1.1,CR-EARTH-01
5.1 Whitefield Station Construction,A4580,Piling Works (Installation of Bored/Driven Piles),1,A4570,5.1.2,CR-PILE-01
5.1 Whitefield Station Construction,A4590,Pile Trimming and Preparation,100,A4580,4.1.4,CR-EARTH-02
5.1 Whitefield Station Construction,A4600,Excavation for Pile Caps and Foundation Bases,100,A4590,4.1.4,CR-EARTH-02
5.1 Whitefield Station Construction,A4610,Install Blinding Concrete and Waterproofing,40,A4600,4.4.2,CR-WATER-01
5.1 Whitefield Station Construction,A4620,Reinforcement Fixing and Formwork for Pile Caps & Foundations,200,A4610,4.1.5,CR-CARP-01
5.1 Whitefield Station Construction,A4630,Concrete Pour for Pile Caps & Foundations,1,A4620,5.1.3,CR-CONC-S1
5.1 Whitefield Station Construction,A4640,Install Underground Drainage and Buried Services/Ducts,150,A4630,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4650,Backfilling and Compaction up to Ground Level,200,A4640,5.1.1,CR-EARTH-01
5.1 Whitefield Station Construction,A4660,Superstructure Works**,50,START,4.3.1,CR-EREC-02
5.1 Whitefield Station Construction,A4670,Construct Ground Floor/Sub-level Retaining Walls and Columns,1,A4650,6.2.3,CR-MASON-01
5.1 Whitefield Station Construction,A4680,Install Formwork & Rebar for Ground Floor Slab,120,A4670,5.1.5,CR-CONC-S1
5.1 Whitefield Station Construction,A4690,Pour Concrete for Ground Floor Slab,120,A4680,5.1.5,CR-CONC-S1
5.1 Whitefield Station Construction,A4700,Erect Structural Steel or RC Columns to Concourse Level,50,A4690,4.3.1,CR-EREC-02
5.1 Whitefield Station Construction,A4710,Install Pedestals & Seismic Arrestors on Support Columns**,90,START,4.1.11,CR-MECH-01
5.1 Whitefield Station Construction,A4720,Install Formwork & Rebar for Concourse Level Beams and Slabs,50,START,4.3.1,CR-EREC-02
5.1 Whitefield Station Construction,A4730,Pour Concrete for Concourse Level Slab,120,A4720,5.1.5,CR-CONC-S1
5.1 Whitefield Station Construction,A4740,Erect Structural Steel or RC Columns to Platform/Roof Level,300,A4730,5.1.4,CR-STEEL-01
5.1 Whitefield Station Construction,A4750,Construct Staircases and Lift/Elevator Shafts,1,A4740,5.1.14,CR-LIFT-01
5.1 Whitefield Station Construction,A4760,Install Main Roof Structural Steel/Concrete Frame,225,A4750,6.2.1,CR-STEEL-01
5.1 Whitefield Station Construction,A4770,"Install Roof Decking, Waterproofing, and Cladding",1,START,6.2.2,CR-ROOF-01
5.1 Whitefield Station Construction,A4780,Building Envelope & Architectural Finishes**,225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4790,"Install External Facade, Cladding, and Glazing Systems",225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4800,Install External Doors and Louvres,225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4810,Commence Internal Blockwork and Partitioning,0,A4800,N/A,N/A
5.1 Whitefield Station Construction,A4820,Floor Screeding and Toppings,1,START,5.1.9,CR-FLOOR-01
5.1 Whitefield Station Construction,A4830,"First Fix Internal Finishes (Wall Linings, Plastering)",225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4840,Ceiling Grid and System Installation,1,START,5.1.10,CR-CEIL-01
5.1 Whitefield Station Construction,A4850,"Second Fix Internal Finishes (Painting, Tiling, Floor Coverings)",225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4860,"Installation of Internal Doors, Glazing, and Architectural Metalwork",225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4870,"Fit-out of Station Rooms (Ticket Office, Staff Rooms, Toilets)",1,START,5.1.2,CR-PILE-01
5.1 Whitefield Station Construction,A4880,Installation of Station Furniture and Fixtures,90,START,4.1.11,CR-MECH-01
5.1 Whitefield Station Construction,A4890,"Mechanical, Electrical & Plumbing (MEP) and Systems Installation**",150,START,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4900,"MEP First Fix - Installation of Containment, Ductwork, and Pipework",1,START,5.1.13,CR-PLUMB-01
5.1 Whitefield Station Construction,A4910,"Installation of Major Plant (HVAC Chillers, Transformers, Switchgear)",150,START,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4920,"MEP Second Fix - Cable Pulling, Wiring, and Equipment Installation",1,START,3.3.3,CR-ELEC-01
5.1 Whitefield Station Construction,A4930,Installation of Lighting and Small Power Systems,1,START,3.3.3,CR-ELEC-01
5.1 Whitefield Station Construction,A4940,"Installation of Fire Fighting, Alarm, and Life Safety Systems",150,START,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4950,"Installation of Plumbing, Drainage, and Sanitary Ware",150,START,3.3.2,CR-UTIL-01
5.1 Whitefield Station Construction,A4960,"Installation of Station Specific Systems (CCTV, PA, Access Control, Ticketing)",1,START,3.3.3,CR-ELEC-01
5.1 Whitefield Station Construction,A4970,Installation of Lifts and Escalators,1,A4750,5.1.14,CR-LIFT-01
5.1 Whitefield Station Construction,A4980,External Works & Site Completion**,225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A4990,Final Grading and Preparation for External Areas,120,START,5.1.5,CR-CONC-S1
5.1 Whitefield Station Construction,A5000,"Construction of Access Roads, Pavements, and Kerbs",25,START,1.1.4,CR-ROAD-01
5.1 Whitefield Station Construction,A5010,Installation of External Lighting and Signage,225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A5020,"Landscaping, Planting, and Irrigation Works",1,START,6.1.2,CR-UTIL-02
5.1 Whitefield Station Construction,A5030,Final Site Cleanup and Removal of Temporary Facilities,30,START,1.1.2,CR-BLDG-01
5.1 Whitefield Station Construction,A5040,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
5.1 Whitefield Station Construction,A5050,Pre-commissioning and Static Testing of Individual MEP Systems,1,START,5.1.13,CR-PLUMB-01
5.1 Whitefield Station Construction,A5060,Commissioning and Dynamic Testing of MEP & Life Safety Systems,1,A5050,5.1.13,CR-PLUMB-01
5.1 Whitefield Station Construction,A5070,Testing and Commissioning of Lifts and Escalators,1,A4970,5.1.14,CR-LIFT-01
5.1 Whitefield Station Construction,A5080,Integrated Station Systems Testing,1,A5060,5.1.2,CR-PILE-01
5.1 Whitefield Station Construction,A5090,Final Inspections and Rectification of Snags (Punch List),1,A5080,5.1.13,CR-PLUMB-01
5.1 Whitefield Station Construction,A5100,Obtain Final Statutory Approvals and Occupancy Certificate,0,A5090,N/A,N/A
5.1 Whitefield Station Construction,A5110,Compile As-Built Drawings and O&M Manuals,30,A5100,N/A,N/A
5.1 Whitefield Station Construction,A5120,Final Handover of Whitefield Station to the Client/Operator,0,A5110,N/A,N/A
5.2 K.R. Puram Station Construction,A5130,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
5.2 K.R. Puram Station Construction,A5140,Pre-Construction & Enabling Works**,34,START,3.2.2,CR-DEMO-01
5.2 K.R. Puram Station Construction,A5150,"Site Mobilization, Establishment of Site Office & Laydown Areas",30,START,1.1.2,CR-BLDG-01
5.2 K.R. Puram Station Construction,A5160,"Initial Site Survey, Setting Out, and Geotechnical Investigations",40,START,1.1.3,CR-EARTH-01
5.2 K.R. Puram Station Construction,A5170,"Site Clearance, Grubbing, and Demolition of Existing Structures",34,START,3.2.2,CR-DEMO-01
5.2 K.R. Puram Station Construction,A5180,Traffic Management Plan Implementation & Barricading,25,START,1.1.4,CR-ROAD-01
5.2 K.R. Puram Station Construction,A5190,"Diversion of Existing Utilities (Electrical, Water, Telecom, Sewerage)",34,START,3.2.2,CR-DEMO-01
5.2 K.R. Puram Station Construction,A5200,Substructure & Foundation Works**,267,START,4.1.10,CR-CONC-01
5.2 K.R. Puram Station Construction,A5210,Piling Works (Bored Cast-in-situ piles),1,START,5.1.2,CR-PILE-01
5.2 K.R. Puram Station Construction,A5220,Pile Breaking and Preparation for Pile Caps,100,A5210,4.1.4,CR-EARTH-02
5.2 K.R. Puram Station Construction,A5230,Excavation for Pile Caps and Foundations,100,A5220,4.1.4,CR-EARTH-02
5.2 K.R. Puram Station Construction,A5240,"Pile Cap Reinforcement, Formwork, and Concreting",200,START,4.1.5,CR-CARP-01
5.2 K.R. Puram Station Construction,A5250,Construction of Substructure Piers/Columns up to Ground Level,267,START,4.1.10,CR-CONC-01
5.2 K.R. Puram Station Construction,A5260,Backfilling and Compaction around Foundations,40,A5250,1.1.3,CR-EARTH-01
5.2 K.R. Puram Station Construction,A5270,Superstructure Works**,50,START,4.3.1,CR-EREC-02
5.2 K.R. Puram Station Construction,A5280,Erection of Scaffolding and Formwork for Concourse Level,50,A5260,4.3.1,CR-EREC-02
5.2 K.R. Puram Station Construction,A5290,Concourse Level Slab & Beams - Reinforcement & Concreting,120,A5280,5.1.5,CR-CONC-S1
5.2 K.R. Puram Station Construction,A5300,Construction of Columns from Concourse to Platform Level,50,A5290,4.3.1,CR-EREC-02
