WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor
2.4 Detailed Design - New Depot,A3070,Finalize all Technical Specifications,1,Finalize Depot Specialist Systems IFC Drawings
2.4 Detailed Design - New Depot,A3080,Finalize Bill of Quantities (BoQ),1,Finalize all Technical Specifications
2.4 Detailed Design - New Depot,A3090,Compile and Issue Complete IFC Design Package,1,Finalize Bill of Quantities (BoQ)
2.4 Detailed Design - New Depot,A3100,Provide Technical Support during Tender Period,1,Compile and Issue Complete IFC Design Package
2.4 Detailed Design - New Depot,A3110,Archive Final Design Documents,1,Provide Technical Support during Tender Period
2.4 Detailed Design - New Depot,A3120,Detailed Design Phase Close-Out Report,1,Archive Final Design Documents
2.5 GFC (Good for Construction) Drawing Submissions,A3130,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
2.5 GFC (Good for Construction) Drawing Submissions,A3140,Commence GFC Drawing Production Phase (Milestone)**,1,START
2.5 GFC (Good for Construction) Drawing Submissions,A3150,Establish and Maintain Master Drawing Submission Register**,1,START
2.5 GFC (Good for Construction) Drawing Submissions,A3160,Prepare & Submit Civil & Site Works GFC Drawings**,1,START
"3.1 Long Lead Item Procurement (Bearings, Girders, etc.)",A3170,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"3.1 Long Lead Item Procurement (Bearings, Girders, etc.)",A3180,Finalize Technical Specifications & Bill of Quantities (BOQ) for all Long Lead Items,1,START
"3.1 Long Lead Item Procurement (Bearings, Girders, etc.)",A3190,Prepare and Compile Tender / Request for Quotation (RFQ) Documents,1,Finalize Technical Specifications & Bill of Quantities (BOQ) for all Long Lead Items
"3.1 Long Lead Item Procurement (Bearings, Girders, etc.)",A3200,Issue Tender/RFQ to Prequalified Suppliers,1,Prepare and Compile Tender / Request for Quotation (RFQ) Documents
3.2 Right of Way (ROW) Support & Site Clearance,A3210,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
3.2 Right of Way (ROW) Support & Site Clearance,A3220,Conduct Topographical and Cadastral Surveys to Define ROW Limits**,1,START
3.2 Right of Way (ROW) Support & Site Clearance,A3230,Prepare and Submit ROW Acquisition Plans and Legal Documents**,1,START
3.2 Right of Way (ROW) Support & Site Clearance,A3240,Obtain Environmental Clearance and Permits for Site Activities**,1,START
3.3 Utility Diversion & Shifting,A3250,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
3.3 Utility Diversion & Shifting,A3260,WBS: 3.3 Utility Diversion & Shifting**,1,START
3.3 Utility Diversion & Shifting,A3270,Phase 1: Pre-Construction & Enabling Works**,1,START
3.3 Utility Diversion & Shifting,A3280,Obtain and Review Existing Utility Record Drawings (As-Builts),1,START
3.3 Utility Diversion & Shifting,A3290,Perform GPR (Ground Penetrating Radar) & CAT Scans to Survey for Unknown Utilities,1,Obtain and Review Existing Utility Record Drawings (As-Builts)
3.3 Utility Diversion & Shifting,A3300,"Engage and Coordinate with all Relevant Utility Authorities (Power, Water, Telecom, Gas, etc.)",1,START
3.3 Utility Diversion & Shifting,A3310,Phase 2: Installation of New Utility Corridors**,1,START
3.3 Utility Diversion & Shifting,A3320,"Phase 3: Live Diversion, Connection & Commissioning**",1,START
3.3 Utility Diversion & Shifting,A3330,Phase 4: Decommissioning & Reinstatement**,1,START
3.3 Utility Diversion & Shifting,A3340,Phase 5: Handover**,1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3350,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3360,Mobilization & Site Preparation**,1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3370,"Mobilize Piling Rig, Equipment, and Personnel to Work Area",1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3380,Survey and Set Out for Pile Locations,1,Mobilize Piling Rig
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3390,Construct Piling Platform and Access Routes,1,Survey and Set Out for Pile Locations
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3400,Piling Works**,1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3410,Bore/Drive Piles to Designed Depth,1,Construct Piling Platform and Access Routes
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3420,Fabricate and Install Pile Reinforcement Cages,1,Bore/Drive Piles to Designed Depth
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3430,Pour Concrete for Piles,1,Fabricate and Install Pile Reinforcement Cages
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3440,Allow for Concrete Curing Time for Piles,1,Pour Concrete for Piles
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3450,Conduct Pile Integrity Testing (PIT) and/or Static Load Tests,1,Allow for Concrete Curing Time for Piles
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3460,Trim/Break Pile Heads to Final Cut-off Level,1,Conduct Pile Integrity Testing (PIT) and/or Static Load Tests
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3470,Pile Cap Construction**,1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3480,Excavate for Pile Caps,1,Trim/Break Pile Heads to Final Cut-off Level
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3490,Lay Blinding Concrete Layer,1,Excavate for Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3500,Erect Formwork for Pile Caps,1,Lay Blinding Concrete Layer
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3510,Fix Reinforcement Steel for Pile Caps,1,Erect Formwork for Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3520,Pour Concrete for Pile Caps,1,Fix Reinforcement Steel for Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3530,Allow for Concrete Curing Time for Pile Caps,1,Pour Concrete for Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3540,Strip Formwork from Pile Caps,1,Allow for Concrete Curing Time for Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3550,Apply Waterproofing/Protective Coating to Pile Caps,1,Strip Formwork from Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3560,Backfill and Compact around Completed Pile Caps,1,Apply Waterproofing/Protective Coating to Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3570,Fix Pier Starter Bars into Pile Cap,1,Backfill and Compact around Completed Pile Caps
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3580,Erect Formwork and Falsework for Piers (Lift 1),1,Fix Pier Starter Bars into Pile Cap
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3590,Fix Reinforcement Steel for Piers (Lift 1),1,Erect Formwork and Falsework for Piers (Lift 1)
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3600,Pour Concrete for Piers (Lift 1),1,Fix Reinforcement Steel for Piers (Lift 1)
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3610,Cure and Strip Formwork for Pier (Lift 1),1,Pour Concrete for Piers (Lift 1)
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3620,"Repeat Formwork, Rebar, and Concrete Cycle for Subsequent Pier Lifts",1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3630,"Construct Pier Head/Crosshead (Formwork, Rebar, Concrete)",1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3640,Cure and Strip Pier Head Formwork,1,Construct Pier Head/Crosshead (Formwork
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3650,Grouting and Surface Preparation of Pier Head,1,Cure and Strip Pier Head Formwork
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3660,"Install Bearings, Pedestals & Seismic Arrestors",1,START
"4.1 Substructure Works (Piling, Pile Caps, Piers)",A3670,"Final Survey, Inspection, and Handover of Substructure",1,START
4.2 Superstructure Works (Segment Casting & Erection),A3680,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3690,WBS: 4.2 Superstructure Works (Segment Casting & Erection)**,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3700,A. PREPARATION & MOBILIZATION**,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3710,Submit & Approve Method Statements and Shop Drawings for Superstructure Works,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3720,Establish & Commission Precast Segment Casting Yard,1,Submit & Approve Method Statements and Shop Drawings for Superstructure Works
4.2 Superstructure Works (Segment Casting & Erection),A3730,"Procure & Deliver Raw Materials for Segment Casting (Reinforcement, Cement, PT etc.)",1,START
4.2 Superstructure Works (Segment Casting & Erection),A3740,B. PRECAST SEGMENT CASTING (CYCLICAL PROCESS)**,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3750,C. ON-SITE ERECTION PREPARATION**,1,START
4.2 Superstructure Works (Segment Casting & Erection),A3760,"D. SEGMENT ERECTION & INSTALLATION (CYCLICAL, PER SPAN)**",1,START
4.2 Superstructure Works (Segment Casting & Erection),A3770,E. FINISHING & COMPLETION WORKS**,1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3780,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3790,"WBS: 4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)**",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3800,"Engineering, Procurement & Fabrication**",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3810,Finalize & Approve Detailed Structural Designs & Shop Drawings,1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3820,"Procure & Deliver Foundation Materials (Rebar, Piling Casings, Concrete)",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3830,Fabricate Structural Steel Girders (Off-site),1,Finalize & Approve Detailed Structural Designs & Shop Drawings
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3840,Apply Protective Coatings / Paint System to Girders at Fabrication Yard,1,Fabricate Structural Steel Girders (Off-site)
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3850,Factory Acceptance Testing (FAT) & Quality Inspection of Steel Girders,1,Apply Protective Coatings / Paint System to Girders at Fabrication Yard
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3860,"Procure & Deliver Bearings, Pedestals, and Seismic Arrestors",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3870,"Procure & Deliver Decking Materials, Expansion Joints, and Parapets",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3880,Arrange Logistics & Transportation for Oversized Girder Delivery to Site,1,Factory Acceptance Testing (FAT) & Quality Inspection of Steel Girders
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3890,Enabling & Substructure Works**,1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3900,"Site Survey, Setting Out, and Geotechnical Verification",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3910,Implement Traffic Management Plan & Obtain Road/Rail Block Permissions,1,Site Survey
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3920,"Site Clearance, Grubbing, and Earthworks for Abutments & Piers",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3930,Construct Piled Foundations for Abutments & Piers,1,Site Clearance
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3940,Construct Pile Caps for Abutments & Piers,1,Construct Piled Foundations for Abutments & Piers
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3950,"Construct Abutment Walls (Formwork, Rebar, Concrete Pour)",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3960,"Construct Pier Shafts (Formwork, Rebar, Concrete Pour)",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3970,"Construct Pier Caps / Abutment Seats (Formwork, Rebar, Concrete Pour)",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3980,Cure Concrete Substructure & Strip Formwork,1,Construct Pier Caps / Abutment Seats (Formwork
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A3990,Superstructure Erection**,1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4000,Prepare Girder Staging & Assembly Area,1,Install Bearings
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4010,Receive & Unload Steel Girders at Site,1,Prepare Girder Staging & Assembly Area
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4020,Assemble Girder Segments on Ground (if required),1,Receive & Unload Steel Girders at Site
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4030,"Install Bearings, Pedestals & Seismic Arrestors on Pier Caps & Abutments",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4040,Mobilize Heavy Lift Cranes / Launching Gantry,1,Assemble Girder Segments on Ground (if required)
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4050,Erect/Launch Main Steel Girders onto Bearings,1,Mobilize Heavy Lift Cranes / Launching Gantry
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4060,Install Diaphragms & Cross-Bracing between Girders,1,Erect/Launch Main Steel Girders onto Bearings
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4070,Complete Bolting / Welding of All Steel Connections,1,Install Diaphragms & Cross-Bracing between Girders
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4080,Conduct Survey & Alignment Checks of Erected Steel Superstructure,1,Complete Bolting / Welding of All Steel Connections
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4090,"Deck, Ramps & Finishes**",1,START
"4.3 Special Spans & Ramps (Steel Girders, ROB/RUB)",A4100,"Testing, Commissioning & Handover**",1,START
4.4 Viaduct Finishing Works,A4110,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
4.4 Viaduct Finishing Works,A4120,Mobilization & Preparatory Works**,1,START
4.4 Viaduct Finishing Works,A4130,"Mobilize personnel, plant, and materials to the viaduct deck.",1,START
4.4 Viaduct Finishing Works,A4140,Conduct as-built survey of the viaduct deck for level and alignment control.,1,START
4.4 Viaduct Finishing Works,A4150,"Prepare deck surface (high-pressure water jetting, grinding, and minor concrete repairs).",1,START
4.4 Viaduct Finishing Works,A4160,Permanent Bearings & Restraints**,1,START
4.4 Viaduct Finishing Works,A4170,Install Permanent Bearings on pier heads.,1,START
4.4 Viaduct Finishing Works,A4180,Install Pedestals and Seismic Arrestors.,1,START
4.4 Viaduct Finishing Works,A4190,"Grout pedestals, bearings, and arrestor base plates.",1,START
4.4 Viaduct Finishing Works,A4200,Conduct post-grouting inspection and testing.,1,START
4.4 Viaduct Finishing Works,A4210,Parapet Wall Construction**,1,START
4.4 Viaduct Finishing Works,A4220,Survey and set out for parapet wall alignment.,1,START
4.4 Viaduct Finishing Works,A4230,Install starter bars and fix reinforcement for parapet walls.,1,START
4.4 Viaduct Finishing Works,A4240,Erect formwork for parapet walls (inner and outer).,1,START
4.4 Viaduct Finishing Works,A4250,Pour concrete for parapet walls in sequential bays.,1,START
4.4 Viaduct Finishing Works,A4260,Strip formwork and apply curing compound.,1,START
4.4 Viaduct Finishing Works,A4270,Apply waterproofing membrane system to the entire deck surface.,1,START
4.4 Viaduct Finishing Works,A4280,Conduct flood testing or integrity testing of the waterproofing membrane.,1,START
4.4 Viaduct Finishing Works,A4290,Lay protective screed or asphaltic layer over the membrane.,1,START
4.4 Viaduct Finishing Works,A4300,Survey and set out for track plinth/baseplate locations.,1,START
4.4 Viaduct Finishing Works,A4310,Construct concrete track plinths.,1,START
4.4 Viaduct Finishing Works,A4320,"Install rails, fastenings, and sleepers/baseplates.",1,START
4.4 Viaduct Finishing Works,A4330,Perform initial rail alignment and thermic welding.,1,START
4.4 Viaduct Finishing Works,A4340,"Final tamping, stressing, and alignment of track.",1,START
4.4 Viaduct Finishing Works,A4350,"Install deck drainage system (scuppers, downpipes).",1,START
4.4 Viaduct Finishing Works,A4360,"Install cable containment systems (ducts, troughs, and cable trays).",1,START
4.4 Viaduct Finishing Works,A4370,Install walkway and maintenance handrailing.,1,START
4.4 Viaduct Finishing Works,A4380,"Pull and install power, signaling, and communication cables.",1,START
4.4 Viaduct Finishing Works,A4390,Install viaduct lighting poles and fixtures.,1,START
4.4 Viaduct Finishing Works,A4400,Install noise barriers and associated steelwork.,1,START
4.4 Viaduct Finishing Works,A4410,Install expansion joints at abutments and designated piers.,1,START
4.4 Viaduct Finishing Works,A4420,Apply final protective/aesthetic coating to parapet walls.,1,START
4.4 Viaduct Finishing Works,A4430,Install all required signage and line marking.,1,START
4.4 Viaduct Finishing Works,A4440,Conduct final cleaning and removal of all temporary works from the deck.,1,START
4.4 Viaduct Finishing Works,A4450,Perform joint quality inspection with the client/engineer (Punch Listing).,1,START
4.4 Viaduct Finishing Works,A4460,Rectify all identified defects/snags.,1,START
4.4 Viaduct Finishing Works,A4470,Final Handover Inspection and Demobilization.,1,START
5.1 Whitefield Station Construction,A4480,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
5.1 Whitefield Station Construction,A4490,Site Establishment & Enabling Works**,1,START
5.1 Whitefield Station Construction,A4500,Obtain All Necessary Permits to Work,1,START
5.1 Whitefield Station Construction,A4510,"Site Mobilization, Setup Site Offices, Welfare Facilities & Laydown Areas",1,START
5.1 Whitefield Station Construction,A4520,Perform Initial Site Survey and Setting Out,1,Site Mobilization
5.1 Whitefield Station Construction,A4530,"Install Temporary Fencing, Hoarding, and Access Gates",1,START
5.1 Whitefield Station Construction,A4540,"Utility Location, Diversion, and Protection Works",1,START
5.1 Whitefield Station Construction,A4550,"Site Clearance, Grubbing, and Removal of Obstructions",1,START
5.1 Whitefield Station Construction,A4560,Substructure & Foundation Works**,1,START
5.1 Whitefield Station Construction,A4570,Bulk Excavation to Formation Level,1,Site Clearance
5.1 Whitefield Station Construction,A4580,Piling Works (Installation of Bored/Driven Piles),1,Bulk Excavation to Formation Level
5.1 Whitefield Station Construction,A4590,Pile Trimming and Preparation,1,Piling Works (Installation of Bored/Driven Piles)
5.1 Whitefield Station Construction,A4600,Excavation for Pile Caps and Foundation Bases,1,Pile Trimming and Preparation
5.1 Whitefield Station Construction,A4610,Install Blinding Concrete and Waterproofing,1,Excavation for Pile Caps and Foundation Bases
5.1 Whitefield Station Construction,A4620,Reinforcement Fixing and Formwork for Pile Caps & Foundations,1,Install Blinding Concrete and Waterproofing
5.1 Whitefield Station Construction,A4630,Concrete Pour for Pile Caps & Foundations,1,Reinforcement Fixing and Formwork for Pile Caps & Foundations
5.1 Whitefield Station Construction,A4640,Install Underground Drainage and Buried Services/Ducts,1,Concrete Pour for Pile Caps & Foundations
5.1 Whitefield Station Construction,A4650,Backfilling and Compaction up to Ground Level,1,Install Underground Drainage and Buried Services/Ducts
5.1 Whitefield Station Construction,A4660,Superstructure Works**,1,START
5.1 Whitefield Station Construction,A4670,Construct Ground Floor/Sub-level Retaining Walls and Columns,1,Backfilling and Compaction up to Ground Level
5.1 Whitefield Station Construction,A4680,Install Formwork & Rebar for Ground Floor Slab,1,Construct Ground Floor/Sub-level Retaining Walls and Columns
5.1 Whitefield Station Construction,A4690,Pour Concrete for Ground Floor Slab,1,Install Formwork & Rebar for Ground Floor Slab
5.1 Whitefield Station Construction,A4700,Erect Structural Steel or RC Columns to Concourse Level,1,Pour Concrete for Ground Floor Slab
5.1 Whitefield Station Construction,A4710,Install Pedestals & Seismic Arrestors on Support Columns**,1,START
5.1 Whitefield Station Construction,A4720,Install Formwork & Rebar for Concourse Level Beams and Slabs,1,Install Pedestals & Seismic Arrestors on Support Columns
5.1 Whitefield Station Construction,A4730,Pour Concrete for Concourse Level Slab,1,Install Formwork & Rebar for Concourse Level Beams and Slabs
5.1 Whitefield Station Construction,A4740,Erect Structural Steel or RC Columns to Platform/Roof Level,1,Pour Concrete for Concourse Level Slab
5.1 Whitefield Station Construction,A4750,Construct Staircases and Lift/Elevator Shafts,1,Erect Structural Steel or RC Columns to Platform/Roof Level
5.1 Whitefield Station Construction,A4760,Install Main Roof Structural Steel/Concrete Frame,1,Construct Staircases and Lift/Elevator Shafts
5.1 Whitefield Station Construction,A4770,"Install Roof Decking, Waterproofing, and Cladding",1,START
5.1 Whitefield Station Construction,A4780,Building Envelope & Architectural Finishes**,1,START
5.1 Whitefield Station Construction,A4790,"Install External Facade, Cladding, and Glazing Systems",1,START
5.1 Whitefield Station Construction,A4800,Install External Doors and Louvres,1,Install External Facade
5.1 Whitefield Station Construction,A4810,Commence Internal Blockwork and Partitioning,1,Install External Doors and Louvres
5.1 Whitefield Station Construction,A4820,Floor Screeding and Toppings,1,MEP First Fix - Installation of Containment
5.1 Whitefield Station Construction,A4830,"First Fix Internal Finishes (Wall Linings, Plastering)",1,START
5.1 Whitefield Station Construction,A4840,Ceiling Grid and System Installation,1,First Fix Internal Finishes (Wall Linings
5.1 Whitefield Station Construction,A4850,"Second Fix Internal Finishes (Painting, Tiling, Floor Coverings)",1,START
5.1 Whitefield Station Construction,A4860,"Installation of Internal Doors, Glazing, and Architectural Metalwork",1,START
5.1 Whitefield Station Construction,A4870,"Fit-out of Station Rooms (Ticket Office, Staff Rooms, Toilets)",1,START
5.1 Whitefield Station Construction,A4880,Installation of Station Furniture and Fixtures,1,Fit-out of Station Rooms (Ticket Office
5.1 Whitefield Station Construction,A4890,"Mechanical, Electrical & Plumbing (MEP) and Systems Installation**",1,START
5.1 Whitefield Station Construction,A4900,"MEP First Fix - Installation of Containment, Ductwork, and Pipework",1,START
5.1 Whitefield Station Construction,A4910,"Installation of Major Plant (HVAC Chillers, Transformers, Switchgear)",1,START
5.1 Whitefield Station Construction,A4920,"MEP Second Fix - Cable Pulling, Wiring, and Equipment Installation",1,START
5.1 Whitefield Station Construction,A4930,Installation of Lighting and Small Power Systems,1,MEP Second Fix - Cable Pulling
5.1 Whitefield Station Construction,A4940,"Installation of Fire Fighting, Alarm, and Life Safety Systems",1,START
5.1 Whitefield Station Construction,A4950,"Installation of Plumbing, Drainage, and Sanitary Ware",1,START
5.1 Whitefield Station Construction,A4960,"Installation of Station Specific Systems (CCTV, PA, Access Control, Ticketing)",1,START
5.1 Whitefield Station Construction,A4970,Installation of Lifts and Escalators,1,Construct Staircases and Lift/Elevator Shafts
5.1 Whitefield Station Construction,A4980,External Works & Site Completion**,1,START
5.1 Whitefield Station Construction,A4990,Final Grading and Preparation for External Areas,1,Install External Facade
5.1 Whitefield Station Construction,A5000,"Construction of Access Roads, Pavements, and Kerbs",1,START
5.1 Whitefield Station Construction,A5010,Installation of External Lighting and Signage,1,Construction of Access Roads
5.1 Whitefield Station Construction,A5020,"Landscaping, Planting, and Irrigation Works",1,START
5.1 Whitefield Station Construction,A5030,Final Site Cleanup and Removal of Temporary Facilities,1,Landscaping
5.1 Whitefield Station Construction,A5040,"Testing, Commissioning & Handover**",1,START
5.1 Whitefield Station Construction,A5050,Pre-commissioning and Static Testing of Individual MEP Systems,1,Installation of Station Specific Systems (CCTV
5.1 Whitefield Station Construction,A5060,Commissioning and Dynamic Testing of MEP & Life Safety Systems,1,Pre-commissioning and Static Testing of Individual MEP Systems
5.1 Whitefield Station Construction,A5070,Testing and Commissioning of Lifts and Escalators,1,Commissioning and Dynamic Testing of MEP & Life Safety Systems
5.1 Whitefield Station Construction,A5080,Integrated Station Systems Testing,1,Testing and Commissioning of Lifts and Escalators
5.1 Whitefield Station Construction,A5090,Final Inspections and Rectification of Snags (Punch List),1,Integrated Station Systems Testing
5.1 Whitefield Station Construction,A5100,Obtain Final Statutory Approvals and Occupancy Certificate,1,Final Inspections and Rectification of Snags (Punch List)
5.1 Whitefield Station Construction,A5110,Compile As-Built Drawings and O&M Manuals,1,Obtain Final Statutory Approvals and Occupancy Certificate
5.1 Whitefield Station Construction,A5120,Final Handover of Whitefield Station to the Client/Operator,1,Compile As-Built Drawings and O&M Manuals
5.2 K.R. Puram Station Construction,A5130,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
5.2 K.R. Puram Station Construction,A5140,Pre-Construction & Enabling Works**,1,START
5.2 K.R. Puram Station Construction,A5150,"Site Mobilization, Establishment of Site Office & Laydown Areas",1,START
5.2 K.R. Puram Station Construction,A5160,"Initial Site Survey, Setting Out, and Geotechnical Investigations",1,START
5.2 K.R. Puram Station Construction,A5170,"Site Clearance, Grubbing, and Demolition of Existing Structures",1,START
5.2 K.R. Puram Station Construction,A5180,Traffic Management Plan Implementation & Barricading,1,Site Clearance
5.2 K.R. Puram Station Construction,A5190,"Diversion of Existing Utilities (Electrical, Water, Telecom, Sewerage)",1,START
5.2 K.R. Puram Station Construction,A5200,Substructure & Foundation Works**,1,START
5.2 K.R. Puram Station Construction,A5210,Piling Works (Bored Cast-in-situ piles),1,Diversion of Existing Utilities (Electrical
5.2 K.R. Puram Station Construction,A5220,Pile Breaking and Preparation for Pile Caps,1,Piling Works (Bored Cast-in-situ piles)
5.2 K.R. Puram Station Construction,A5230,Excavation for Pile Caps and Foundations,1,Pile Breaking and Preparation for Pile Caps
5.2 K.R. Puram Station Construction,A5240,"Pile Cap Reinforcement, Formwork, and Concreting",1,START
5.2 K.R. Puram Station Construction,A5250,Construction of Substructure Piers/Columns up to Ground Level,1,Pile Cap Reinforcement
5.2 K.R. Puram Station Construction,A5260,Backfilling and Compaction around Foundations,1,Construction of Substructure Piers/Columns up to Ground Level
5.2 K.R. Puram Station Construction,A5270,Superstructure Works**,1,START
5.2 K.R. Puram Station Construction,A5280,Erection of Scaffolding and Formwork for Concourse Level,1,Backfilling and Compaction around Foundations
5.2 K.R. Puram Station Construction,A5290,Concourse Level Slab & Beams - Reinforcement & Concreting,1,Erection of Scaffolding and Formwork for Concourse Level
5.2 K.R. Puram Station Construction,A5300,Construction of Columns from Concourse to Platform Level,1,Concourse Level Slab & Beams - Reinforcement & Concreting
5.2 K.R. Puram Station Construction,A5310,Erection of Scaffolding and Formwork for Platform Level,1,Construction of Columns from Concourse to Platform Level
5.2 K.R. Puram Station Construction,A5320,Platform Level Slab & Beams - Reinforcement & Concreting,1,Erection of Scaffolding and Formwork for Platform Level
5.2 K.R. Puram Station Construction,A5330,"Installation of Bearings, Pedestals & Seismic Arrestors",1,START
5.2 K.R. Puram Station Construction,A5340,Construction of Columns from Platform to Roof Level,1,Installation of Bearings
5.2 K.R. Puram Station Construction,A5350,Fabrication and Erection of Structural Steel for Roof,1,Construction of Columns from Platform to Roof Level
5.2 K.R. Puram Station Construction,A5360,"Roof Sheeting, Cladding, and Waterproofing Installation",1,START
5.2 K.R. Puram Station Construction,A5370,Architectural Works & Finishes**,1,START
5.2 K.R. Puram Station Construction,A5380,"MEP (Mechanical, Electrical, Plumbing) & Systems Installation**",1,START
5.2 K.R. Puram Station Construction,A5390,External Area Development**,1,START
5.2 K.R. Puram Station Construction,A5400,"Testing, Commissioning & Handover**",1,START
5.3 Central Station Construction,A5410,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
5.3 Central Station Construction,A5420,WBS: 5.3 Central Station Construction**,1,START
5.3 Central Station Construction,A5430,Site Establishment & Enabling Works**,1,START
5.3 Central Station Construction,A5440,"Mobilize Site Plant, Equipment & Personnel",1,START
5.3 Central Station Construction,A5450,"Establish Site Offices, Welfare Facilities & Laydown Areas",1,START
5.3 Central Station Construction,A5460,Perform Topographical Survey and Setting Out,1,Establish Site Offices
5.3 Central Station Construction,A5470,Implement Traffic & Pedestrian Management Plans,1,Perform Topographical Survey and Setting Out
5.3 Central Station Construction,A5480,"Isolate, Disconnect, and Divert Existing Utilities",1,START
